species.name,taxonomic.group,locomotion.mode,body.mass.kg,speed.m.s-1,references
Pleuronectes platessa,fish,swimming,0.15625,1.28888888888889,Hirt_et_al.2017
Pollachius virens,fish,swimming,0.266,2,Hirt_et_al.2017
Rutilus rutilus,fish,swimming,0.0057,0.65,Hirt_et_al.2017
Rutilus rutilus,fish,swimming,0.1275,1.39444444444444,Hirt_et_al.2017
Salmo irideus,fish,swimming,0.551,2.7,Hirt_et_al.2017
Salmo irideus,fish,swimming,0.235,1.7,Hirt_et_al.2017
Salmo salar,fish,swimming,0.0023,0.131111111111111,Hirt_et_al.2017
Salmo salar,fish,swimming,0.0048,0.166944444444444,Hirt_et_al.2017
Salmo salar,fish,swimming,0.0078,0.216111111111111,Hirt_et_al.2017
Salmo salar,fish,swimming,6.66,6,Hirt_et_al.2017
Salmo salar,fish,swimming,7.85,4.87,Hirt_et_al.2017
Salmo trutta,fish,swimming,0.12167,2.34,Hirt_et_al.2017
Salmo trutta,fish,swimming,0.54872,3.2,Hirt_et_al.2017
Salmo trutta,fish,swimming,0.0341,0.92,Hirt_et_al.2017
Salmo trutta fario,fish,swimming,0.0217,1.26111111111111,Hirt_et_al.2017
Salmo trutta fario,fish,swimming,0.969,3.5,Hirt_et_al.2017
Scardinius erythrophthalmus,fish,swimming,0.0188,1.14,Hirt_et_al.2017
Scardinius erythrophthalmus,fish,swimming,0.299,1.3,Hirt_et_al.2017
Scomber scombrus,fish,swimming,0.54872,1.58888888888889,Hirt_et_al.2017
Scomber scombrus,fish,swimming,0.0252,0.811111111111111,Hirt_et_al.2017
Sphyraena argentea,fish,swimming,4.5,12.2222222222222,Hirt_et_al.2017
Sphyraena barracuda,fish,swimming,26.56,12.1916666666667,Hirt_et_al.2017
Squalinus cephalus,fish,swimming,0.0015,0.24,Hirt_et_al.2017
Tetrapturus audax,fish,swimming,163,22.5,Hirt_et_al.2017
Thunnus albacares,fish,swimming,9.41,20.8,Hirt_et_al.2017
Thunnus albacares,fish,swimming,13.11,20.8333333333333,Hirt_et_al.2017
Thunnus orientalis,fish,swimming,250,19.4444444444444,Hirt_et_al.2017
Thunnus thynnus,fish,swimming,27.22,19.6694444444444,Hirt_et_al.2017
Trachinus vipera,fish,swimming,0.0224,0.4,Hirt_et_al.2017
Trigla sp,fish,swimming,0.21,1.31111111111111,Hirt_et_al.2017
Trisopterus luscus,fish,swimming,0.0165,0.55,Hirt_et_al.2017
Xiphias gladius,fish,swimming,98,26.9444444444444,Hirt_et_al.2017
Balaenoptera musculus,mammal,swimming,108400,10.3,Hirt_et_al.2017
Delphinapterus leucas,mammal,swimming,1380,6.11111111111111,Hirt_et_al.2017
Delphinus delphis,mammal,swimming,118,8,Hirt_et_al.2017
Delphinus delphis,mammal,swimming,95.32,10.3,Hirt_et_al.2017
Enhydra lutris,mammal,swimming,30,2.5,Hirt_et_al.2017
Megaptera novaeangliae,mammal,swimming,30000,7.5,Hirt_et_al.2017
Megaptera novaeangliae,mammal,swimming,30000,6.47222222222222,Hirt_et_al.2017
Orcinus orca,mammal,swimming,4100,13.3333333333333,Hirt_et_al.2017
Orcinus orca,mammal,swimming,4300,6.94444444444444,Hirt_et_al.2017
Orcinus orca,mammal,swimming,4300,15.4,Hirt_et_al.2017
Physeter catodon,mammal,swimming,10100,10.8333333333333,Hirt_et_al.2017
Pseudorca crassidens,mammal,swimming,1378.5,8,Hirt_et_al.2017
Pusa hispida,mammal,swimming,88.07,8.33333333333333,Hirt_et_al.2017
Tursiops truncatus,mammal,swimming,250,9.72222222222222,Hirt_et_al.2017
Tursiops truncatus,mammal,swimming,250,8.19444444444444,Hirt_et_al.2017
Zalophus californianus,mammal,swimming,158,11.1111111111111,Hirt_et_al.2017
Aequipecten opercularis,mollusc,swimming,0.0143,0.25,Hirt_et_al.2017
Illex illecebrosus,mollusc,swimming,0.6,1.4,Hirt_et_al.2017
Loligo vulgaris,mollusc,swimming,0.35,2,Hirt_et_al.2017
Octopus vulgaris,mollusc,swimming,17,11.1111111111111,Hirt_et_al.2017
Sepia officinalis,mollusc,swimming,0.25,0.8,Hirt_et_al.2017
Dermochelys coriacea,reptile,swimming,420,9.8,Hirt_et_al.2017
