Size,Observed,Predicted,Trait
0.0109,1,1,Probability
0.0291,1,0.81361,Probability
0.0291,1,0.81361,Probability
0.0291,1,0.81361,Probability
0.0291,1,0.81361,Probability
0.00122086,4.78913360295452e-07,5.18754633e-07,Attack
0.00122086,4.87114164256902e-07,5.18754633e-07,Attack
0.00150553,3e-08,4.11134113e-07,Attack
0.00150553,4.99999379000016e-08,4.11134113e-07,Attack
0.00150553,8.00000437760331e-08,4.11134113e-07,Attack
0.00150553,1.10000028116029e-07,4.11134113e-07,Attack
0.004025,2.51985358802816e-07,2.12924742e-06,Attack
9.1871e-06,3.77778648179338e-07,1.0821172e-09,Attack
9.1871e-06,1.72222206722225e-07,1.0821172e-09,Attack
0.140407,0.000196087485968028,0.000115174092,Attack
0.0259642,0.000411334040421896,1.34318034e-05,Attack
0.136734,0.000403310264821186,0.000110729304,Attack
0.0299838,0.000352473013183491,1.6248762e-05,Attack
6.76984e-08,1.97917377385628e-09,1.22637681e-12,Attack
1.95856e-07,6.20368831456628e-09,6.194741e-12,Attack
3.82959e-07,4.76851507603078e-09,1.50350998e-11,Attack
6.76984e-08,1.11111141319123e-09,1.22637681e-12,Attack
3.82959e-07,2.11805733091007e-09,1.50350998e-11,Attack
6.76984e-08,1.85185286162973e-09,1.22637681e-12,Attack
6.76984e-08,2.78935106246573e-09,1.22637681e-12,Attack
6.76984e-08,2.18170622792967e-09,1.22637681e-12,Attack
3.82959e-07,4.54861232286148e-09,1.50350998e-11,Attack
3.82959e-07,6.37730696689539e-09,1.50350998e-11,Attack
3.82959e-07,8.71528965740441e-09,1.50350998e-11,Attack
3.82959e-07,9.28238370392042e-09,1.50907752e-11,Attack
6.76984e-08,2.70832058229481e-09,1.23085266e-12,Attack
6.76984e-08,4.28241758241758e-09,1.23085266e-12,Attack
6.76984e-08,9.31713478518211e-09,1.23085266e-12,Attack
3.82959e-07,6.00695637714096e-09,1.50907752e-11,Attack
6.76984e-08,3.65739582514302e-09,1.23085266e-12,Attack
3.82959e-07,4.31712004855556e-09,1.50907752e-11,Attack
3.82959e-07,3.48379432349371e-09,1.50907752e-11,Attack
1.95856e-07,5.28936205605922e-09,6.15488944e-12,Attack
6.76984e-08,3.47106993866679e-09,1.23085266e-12,Attack
1.95856e-07,5.40510437202417e-09,6.15488944e-12,Attack
3.82959e-07,6.00695326097009e-09,1.50907752e-11,Attack
6.76984e-08,9.83795491063294e-09,1.22236968e-12,Attack
3.82959e-07,8.73844696809545e-09,1.299984e-11,Attack
3.82959e-07,7.6967909834849e-09,1.3112814e-11,Attack
3.82959e-07,1.92360877231214e-08,1.299984e-11,Attack
1.95856e-07,6.38888106887679e-09,5.40288955e-12,Attack
6.76984e-08,1.55902784378082e-09,1.22236968e-12,Attack
6.76984e-08,3.3796402889903e-09,1.22236968e-12,Attack
1.95856e-07,2.45370431312505e-09,5.40288955e-12,Attack
3.82959e-07,9.17821622384959e-09,1.36537245e-11,Attack
3.82959e-07,5.90275201218939e-09,0,Attack
3.82959e-07,8.72683925727344e-09,1.36537245e-11,Attack
3.82959e-07,6.50463464547972e-09,0,Attack
3.82959e-07,5.59026497158321e-09,0,Attack
6.76984e-08,1.6550942864158e-09,1.22236968e-12,Attack
6.76984e-08,8.56481490423151e-10,1.22236968e-12,Attack
3.82959e-07,1.97800819595983e-08,1.299984e-11,Attack
6.76984e-08,2.36111293657333e-09,0,Attack
3.82959e-07,8.02083656733298e-09,0,Attack
3.82959e-07,7.48843971213638e-09,0,Attack
1.95856e-07,2.66204096902046e-09,5.926155e-12,Attack
3.82959e-07,1.74537224699365e-08,1.299984e-11,Attack
3.82959e-07,1.84953402237062e-08,1.299984e-11,Attack
3.7909e-05,3.34578373917787e-08,6.58480575e-09,Attack
3.7909e-05,7.95206636207192e-08,6.38687685e-09,Attack
0.000236209,8.88887879111467e-09,6.22446363e-08,Attack
3.91057e-06,1.87405871605374e-11,2.12699616e-10,Attack
3.91057e-06,2.77107613411657e-11,2.12699616e-10,Attack
3.3778e-06,8.75637486301947e-12,2.01319506e-10,Attack
2.1e-05,2.13889136786111e-06,3.44178396e-09,Attack
2.1e-05,1.0833345033345e-06,3.44178396e-09,Attack
1.7e-05,1.72222096844474e-06,2.6256014e-09,Attack
1.7e-05,8.61113474007656e-07,2.6256014e-09,Attack
1.7e-05,4.44443859556772e-07,2.6256014e-09,Attack
2.1e-05,8.33331093340501e-07,3.44178396e-09,Attack
0.000694201,0.000817197652677761,1.62036693e-07,Attack
0.0019364,0.000977400001317144,5.4027456e-07,Attack
0.00400951,0.00028080034880632,1.2598069e-06,Attack
0.00705137,0.000203399978439161,3.09492677e-06,Attack
0.0111841,0.000273601004749009,4.773505e-06,Attack
0.0165187,0.000205199755119774,8.1695915e-06,Attack
0.0231578,6.49801016750847e-05,1.21566676e-05,Attack
0.031197,0.000201599485025902,1.87997616e-05,Attack
0.0407267,0.000196199926306113,2.62005496e-05,Attack
0.113603,8.76600008103638e-05,0.000105217728,Attack
0.000694201,0.000117300345365078,1.66980124e-07,Attack
0.000694201,1.06589857269065e-05,2.5957855e-07,Attack
0.0019364,4.2330014135822e-05,9.1245752e-07,Attack
0.00400951,4.43700790201782e-05,2.1736173e-06,Attack
0.00705137,7.80300387733663e-05,5.36676735e-06,Attack
0.0111841,1.8309003479955e-05,8.29843975e-06,Attack
0.0165187,1.55040023623622e-05,1.3799005e-05,Attack
0.0231578,2.27460200197002e-05,1.95855134e-05,Attack
0.031197,7.34400702747026e-06,2.95972794e-05,Attack
0.0407267,1.57590186012649e-05,4.05399555e-05,Attack
0.113603,5.1000086893915e-07,0.00014705,Attack
0.00400951,4.24320145123131e-05,1.27084006e-06,Attack
0.00705137,0.000698702513852585,3.28286322e-06,Attack
0.0111841,6.9870180859145e-05,4.86539212e-06,Attack
0.0165187,7.49699392202677e-05,8.0571987e-06,Attack
0.0231578,5.71202323902055e-05,1.1493984e-05,Attack
0.031197,6.22200355990927e-05,1.7012074e-05,Attack
0.0407267,8.05799449953782e-05,2.34000765e-05,Attack
0.113603,2.21849774726667e-05,8.336614e-05,Attack
0.000236209,7.777779395556e-09,5.10357387e-08,Attack
0.000236209,5.27777245777667e-09,5.10357387e-08,Attack
0.000236209,1.38888780000196e-09,5.10357387e-08,Attack
0.000236209,5.0000072900006e-09,5.10357387e-08,Attack
4e-08,2.77778e-10,6.26843992e-13,Attack
4e-07,6.66664482674704e-09,1.87185384e-11,Attack
2e-07,3.61111501111501e-09,7.30701376e-12,Attack
8e-07,1.11111096444449e-08,4.22637592e-11,Attack
6e-08,5.55556177777529e-10,1.2304871e-12,Attack
8e-08,1.11111795557746e-09,1.927816e-12,Attack
8e-07,2.49999662500118e-08,4.22637592e-11,Attack
2e-07,7.49997975003442e-09,8.49458512e-12,Attack
8e-08,2.2222314666711e-09,1.927816e-12,Attack
6e-08,1.3888896e-09,1.2304871e-12,Attack
4e-07,1.44444629333422e-08,1.87185384e-11,Attack
4e-08,5.55556155556156e-10,6.26843992e-13,Attack
8e-07,8.61111171388953e-09,4.22637592e-11,Attack
4e-08,2.77777650000115e-10,6.26843992e-13,Attack
6e-08,1.11111188444531e-09,1.2304871e-12,Attack
4e-07,6.9444623611559e-09,1.87185384e-11,Attack
2e-07,4.44445191112306e-09,8.49458512e-12,Attack
8e-08,1.66666558666675e-09,1.927816e-12,Attack
0.00541,6.43333742493266e-05,3.13949472e-06,Attack
0.00856713,0.000219999918687949,8.429817e-06,Attack
0.00856713,8.00000887201235e-05,8.429817e-06,Attack
0.00982296,5.99997953405874e-05,6.7519274e-06,Attack
0.00982296,6.99998462803692e-05,6.7519274e-06,Attack
2.5e-06,2.69386210402248e-09,1.37598272e-10,Attack
2.5e-06,3.03819566534285e-10,0,Attack
2.5e-06,8.1018711018711e-10,1.27388265e-10,Attack
2.5e-06,1.23553396640445e-09,1.29512745e-10,Attack
0.000694201,2.79999611359949e-06,2.11450008e-07,Attack
0.0019364,2.09999149920721e-06,7.7609889e-07,Attack
0.00400951,5.39998781762992e-05,1.88859716e-06,Attack
0.000120193,2.85000132513516e-08,1.86267248e-08,Attack
0.000694201,1.50000478500952e-05,2.11450008e-07,Attack
0.0019364,2.4e-05,7.7609889e-07,Attack
0.00400951,6.29999966547017e-05,1.88859716e-06,Attack
0.000120193,2.39999715816247e-07,1.86267248e-08,Attack
0.000335266,3.90000351175598e-06,8.237867e-08,Attack
0.000694201,1.10000164010094e-06,2.11450008e-07,Attack
0.0019364,1.90000056620012e-06,7.7609889e-07,Attack
0.00400951,1.39999658399945e-05,1.88859716e-06,Attack
0.000120193,3.6000069491496e-08,1.86267248e-08,Attack
0.000335266,1.39999605759849e-06,8.237867e-08,Attack
0.0449752,1.38513513513514e-05,4.32096669e-05,Attack
0.0469708,2.33740243902439e-05,4.56777188e-05,Attack
0.0434592,7.84314117647059e-07,4.4338e-05,Attack
0.00380972,1.9858170212766e-06,2.1535e-06,Attack
0.0485592,3.2646030927835e-06,5.108e-05,Attack
8.16465e-05,2.04902658140511e-09,1.46233748e-08,Attack
8.16465e-05,5.51827800865454e-09,1.68903245e-08,Attack
8.16465e-05,3.45203158440885e-09,1.68903245e-08,Attack
8.16465e-05,2.79433080540299e-09,1.38840581e-08,Attack
2.82214e-05,1.9951332394971e-09,4.42229345e-09,Attack
8.16465e-05,3.47754564895542e-09,1.46233748e-08,Attack
8.16465e-05,7.20190779014308e-09,1.46233748e-08,Attack
2.82214e-05,4.64844683053334e-09,4.00715592e-09,Attack
8.16465e-05,3.14598169637697e-09,1.46233748e-08,Attack
8.16465e-05,1.73939350843283e-09,1.3180301e-08,Attack
8.16465e-05,2.73778150093582e-09,1.68903245e-08,Attack
2.82214e-05,2.73039233958764e-09,3.71937032e-09,Attack
8.16465e-05,1.0114828937242e-08,1.56880834e-08,Attack
8.16465e-05,5.38370330856055e-09,1.68903245e-08,Attack
0.00440791,0.000216667082667732,1.49934528e-06,Attack
0.000150371,1.56423488737026e-09,3.08447919e-08,Attack
8.84079e-05,1.54079683056967e-09,1.88563896e-08,Attack
1.25965e-05,7.89930599989148e-10,1.14968768e-09,Attack
8.84079e-05,7.04860420276591e-10,1.5402096e-08,Attack
2.49285e-05,7.1267221562824e-10,2.90166885e-09,Attack
8.84079e-05,7.43056408881541e-10,1.80365592e-08,Attack
5.03738e-05,1.68749394019142e-09,7.27964832e-09,Attack
2.49285e-05,1.85764284767334e-10,2.5183445e-09,Attack
5.03738e-05,1.49478977987086e-09,7.8839865e-09,Attack
0.000150371,1.80381988412551e-09,3.76545589e-08,Attack
2.49285e-05,4.2621538857889e-10,2.76764992e-09,Attack
0.000150371,1.33941400405872e-09,3.33385962e-08,Attack
5.03738e-05,4.68750202499984e-11,5.90924924e-09,Attack
0.000150371,1.85069678076286e-09,4.03689321e-08,Attack
8.84079e-05,1.6180536294255e-09,2.03754072e-08,Attack
0.000150371,1.92013712620269e-09,3.61720408e-08,Attack
8.84079e-05,6.81426073440839e-10,1.65564876e-08,Attack
1.25965e-05,5.57288662923054e-10,1.05163695e-09,Attack
5.03738e-05,9.83506967812565e-10,6.95706678e-09,Attack
5.03738e-05,4.26216119435875e-10,6.35272898e-09,Attack
1.25965e-05,3.17707732866026e-10,1.0003264e-09,Attack
2.49285e-05,1.30121973389198e-09,3.17141762e-09,Attack
8.84079e-05,4.4410630332803e-09,1.70732856e-08,Attack
8.84079e-05,4.0267341084284e-09,1.70732856e-08,Attack
8.84079e-05,1.07829975349889e-09,1.70732856e-08,Attack
8.84079e-05,1.96475503228257e-09,1.70732856e-08,Attack
8.84079e-05,3.00539031727817e-09,1.70732856e-08,Attack
8.84079e-05,1.20356155007802e-09,1.70732856e-08,Attack
8.16465e-05,1.64435024506557e-09,1.6005129e-08,Attack
8.16465e-05,2.63875223613596e-09,1.6005129e-08,Attack
8.16465e-05,2.02529814567306e-09,1.3180301e-08,Attack
8.16465e-05,2.95117469879518e-09,1.6005129e-08,Attack
8.16465e-05,3.07181203525664e-09,1.4438196e-08,Attack
8.16465e-05,2.48574318164202e-09,1.3180301e-08,Attack
8.16465e-05,2.28780309617274e-09,1.6005129e-08,Attack
8.16465e-05,1.94460721357093e-09,1.3180301e-08,Attack
8.16465e-05,7.28286578657866e-10,1.6005129e-08,Attack
8.16465e-05,3.7986151549591e-10,1.3180301e-08,Attack
8.16465e-05,4.00644987600768e-09,1.6005129e-08,Attack
0.00122086,94.1112541313754,0.4573,Handling
0.00122086,170.006562240382,0.4573,Handling
0.00150553,710.115906581111,38.139,Handling
0.00150553,195.992032550708,38.139,Handling
0.00150553,215.875064627436,38.139,Handling
0.00150553,201.672873907651,38.139,Handling
0.004025,5534.12692632659,0.2474,Handling
9.1871e-06,9114.83279054574,2.613,Handling
9.1871e-06,8545.15943264362,2.613,Handling
0.140407,0.0546779685736822,1011.4,Handling
0.0259642,0.447125320667795,712.03,Handling
0.136734,0.159650720796961,1059.1,Handling
0.0299838,0.301208864766194,567.29,Handling
6.76984e-08,1826409.87769948,20.688,Handling
1.95856e-07,1478529.07795415,9.3259,Handling
3.82959e-07,645425.415058562,5.64,Handling
6.76984e-08,3240858.72450269,20.688,Handling
3.82959e-07,1453350.06090808,5.64,Handling
6.76984e-08,1950007.08340073,20.688,Handling
6.76984e-08,1295427.44231551,20.688,Handling
6.76984e-08,1611278.69304674,20.688,Handling
3.82959e-07,677467.577417946,5.64,Handling
3.82959e-07,480636.096881145,5.64,Handling
3.82959e-07,1405286.18776176,5.64,Handling
3.82959e-07,267096.116752,5.5095,Handling
6.76984e-08,2357015.85792962,20.209,Handling
6.76984e-08,2108651.36705627,20.209,Handling
6.76984e-08,1775958.62556521,20.209,Handling
3.82959e-07,417044.878734728,5.5095,Handling
6.76984e-08,1766587.23961123,20.209,Handling
3.82959e-07,529506.693563908,5.5095,Handling
3.82959e-07,670083.309746776,5.5095,Handling
1.95856e-07,1705662.00871028,9.1102,Handling
6.76984e-08,2624101.74622415,20.209,Handling
1.95856e-07,1785324.1762501,9.1102,Handling
3.82959e-07,379557.777328827,5.5095,Handling
6.76984e-08,584630.494280059,197.29,Handling
3.82959e-07,134397.691225715,53.787,Handling
3.82959e-07,100342.321355333,95.712,Handling
3.82959e-07,71518.7615155068,53.787,Handling
1.95856e-07,244796.598448332,88.937,Handling
6.76984e-08,376313.972413583,197.29,Handling
6.76984e-08,199196.216645254,197.29,Handling
1.95856e-07,392153.279589833,88.937,Handling
3.82959e-07,42315.8292972804,194.01,Handling
3.82959e-07,38072.6792858115,328.88,Handling
3.82959e-07,43646.4584330554,194.01,Handling
3.82959e-07,186830.188909166,328.88,Handling
3.82959e-07,36110.1076458251,328.88,Handling
6.76984e-08,407993.132223274,197.29,Handling
6.76984e-08,626389.7211311,197.29,Handling
3.82959e-07,72478.8839117612,53.787,Handling
6.76984e-08,164871.856159052,711.64,Handling
3.82959e-07,25120.0314765851,328.88,Handling
3.82959e-07,27475.034427515,328.88,Handling
1.95856e-07,146242.197134636,320.81,Handling
3.82959e-07,67198.8456128574,53.787,Handling
3.82959e-07,69358.8426653817,53.787,Handling
3.7909e-05,139345.535821905,0.71411,Handling
3.7909e-05,76498.3053712903,0.96404,Handling
0.000236209,1492.75640168056,2.0669,Handling
3.91057e-06,20277.3618665555,20.924,Handling
3.91057e-06,32673.5882395993,20.924,Handling
3.3778e-06,75209.2320836567,23.353,Handling
2.1e-05,759.999118401023,66.728,Handling
2.1e-05,719.999942400004,66.728,Handling
1.7e-05,1120.00055552028,78.187,Handling
1.7e-05,1120.00055552028,78.187,Handling
1.7e-05,1879.9985636811,78.187,Handling
2.1e-05,1279.99934464034,66.728,Handling
0.000694201,6.42072740404041,379.48,Handling
0.0019364,3.18300715428942,175.81,Handling
0.00400951,1.457295605712,101.85,Handling
0.00705137,0.577789028509366,66.695,Handling
0.0111841,0.406591051414473,47.19,Handling
0.0165187,0.340975433163118,35.222,Handling
0.0231578,0.179699506158318,27.339,Handling
0.031197,0.43096754744638,21.863,Handling
0.0407267,0.268840889721142,17.902,Handling
0.113603,0.297751378958745,8.2939,Handling
0.000694201,16.396559878855,142.43,Handling
0.000694201,335.546183776592,0.60936,Handling
0.0019364,241.377294897685,0.28232,Handling
0.00400951,141.472871953473,0.16356,Handling
0.00705137,114.025459771956,0.1071,Handling
0.0111841,82.9597038161505,0.075777,Handling
0.0165187,90.3730959607679,0.05656,Handling
0.0231578,129.117096633689,0.0439,Handling
0.031197,200.691799757899,0.035108,Handling
0.0407267,130.264368797275,0.028746,Handling
0.113603,10740.6320500157,0.013318,Handling
0.00400951,0.841804977449492,220.81,Handling
0.00705137,2.2834300310388,254.28,Handling
0.0111841,0.954295578994964,285.36,Handling
0.0165187,0.535785219257087,314.58,Handling
0.0231578,0.0813010378273122,342.31,Handling
0.031197,0.164853267486597,368.78,Handling
0.0407267,0.182291175894198,394.19,Handling
0.113603,0.0516620419992829,509.43,Handling
0.000236209,3.84609877777072,587.54,Handling
0.000236209,5.32537367328263,587.54,Handling
0.000236209,7.24840909905479,587.54,Handling
0.000236209,5.99102985367469,587.54,Handling
4e-08,299999.760000192,4.879,Handling
4e-07,121034.433860709,1.6774,Handling
2e-07,139655.16124138,2.8211,Handling
8e-07,102413.773849659,0.9974,Handling
6e-08,83999.8723201941,3.5997,Handling
8e-08,131999.609281157,2.9011,Handling
8e-07,46551.7706897017,0.9974,Handling
2e-07,90000.09000009,1.4592,Handling
8e-08,155999.425922113,2.9011,Handling
6e-08,191999.90169605,3.5997,Handling
4e-07,62068.9158621087,1.6774,Handling
4e-08,269999.978400002,4.879,Handling
8e-07,21724.1596551941,0.9974,Handling
4e-08,137999.939280027,4.879,Handling
6e-08,348000.147552063,3.5997,Handling
4e-07,93103.4408275868,1.6774,Handling
2e-07,179999.985600001,1.4592,Handling
8e-08,324000.184032105,2.9011,Handling
0.00541,3.21824848474219,0.12898,Handling
0.00856713,3.55384970769586,21.236,Handling
0.00856713,4.2653858224888,21.236,Handling
0.00982296,4.37307928891282,19.165,Handling
0.00982296,4.22307605312326,19.165,Handling
2.5e-06,4813.46571315314,393.99,Handling
2.5e-06,2041.60756137407,7276.3,Handling
2.5e-06,77781.0353019829,44.7,Handling
2.5e-06,82925.8817374275,137.21,Handling
0.000694201,4.81871557735348,3.8727,Handling
0.0019364,1.22203943287694,1.7942,Handling
0.00400951,1.30535586507622,1.0395,Handling
0.000120193,80.7098030864032,14.428,Handling
0.000694201,4.42987345267333,3.8727,Handling
0.0019364,1.93026188998982,1.7942,Handling
0.00400951,0.737387019149995,1.0395,Handling
0.000120193,164.433263504255,14.428,Handling
0.000335266,54.3666602699797,6.6847,Handling
0.000694201,2.95787871353238,3.8727,Handling
0.0019364,2.06912814139508,1.7942,Handling
0.00400951,0.847095007712882,1.0395,Handling
0.000120193,74.4606767870989,14.428,Handling
0.000335266,12.2203943287694,6.6847,Handling
0.0449752,6.64137321814447,0.17298,Handling
0.0469708,7.1033694361555,0.16743,Handling
0.0434592,652508.352111246,5.5548e-05,Handling
0.00380972,79493.6846765317,0.00040431,Handling
0.0485592,68685.1601885498,5.1113e-05,Handling
8.16465e-05,213559.124996533,2.1764,Handling
8.16465e-05,41279.6686218065,0.67198,Handling
8.16465e-05,93583.7614544567,0.67198,Handling
8.16465e-05,214189.250640925,3.272,Handling
2.82214e-05,158832.035488579,1.4906,Handling
8.16465e-05,97002.8850217812,2.1764,Handling
8.16465e-05,97002.8850217812,2.1764,Handling
2.82214e-05,249789.931522881,2.9094,Handling
8.16465e-05,196553.967330525,2.1764,Handling
8.16465e-05,216211.283550957,4.6029,Handling
8.16465e-05,54924.192916844,0.67198,Handling
2.82214e-05,494043.058100686,4.8278,Handling
8.16465e-05,176528.05232704,1.3116,Handling
8.16465e-05,179475.793506024,0.67198,Handling
0.00440791,8.59019955259758,450.76,Handling
0.000150371,38547.7033279483,6.4918,Handling
8.84079e-05,48095.320387426,2.1753,Handling
1.25965e-05,264600.474957892,5.3279,Handling
8.84079e-05,66951.3106441343,9.6688,Handling
2.49285e-05,122242.452200748,5.6216,Handling
8.84079e-05,41011.8753085112,3.0824,Handling
5.03738e-05,95189.1154955912,3.3168,Handling
2.49285e-05,88451.9878232827,15.029,Handling
5.03738e-05,97020.0484132545,1.884,Handling
0.000150371,25049.6914851918,1.4605,Handling
2.49285e-05,112429.134619439,7.966,Handling
0.000150371,23986.9739457597,3.9046,Handling
5.03738e-05,90169.961868964,14.743,Handling
0.000150371,28224.0384693915,0.8296,Handling
8.84079e-05,56448.0769387831,1.2356,Handling
0.000150371,25455.6511419504,2.0696,Handling
8.84079e-05,41227.5758486672,5.8154,Handling
1.25965e-05,197391.736038829,9.3798,Handling
5.03738e-05,93337.3488116126,4.7001,Handling
5.03738e-05,70087.0254860924,8.8673,Handling
1.25965e-05,197988.260921215,13.291,Handling
2.49285e-05,135827.938687861,3.1932,Handling
8.84079e-05,13296.8750747949,4.3995,Handling
8.84079e-05,14393.7327522779,4.3995,Handling
8.84079e-05,135412.119527693,4.3995,Handling
8.84079e-05,24630.9825602397,4.3995,Handling
8.84079e-05,11834.4257423489,4.3995,Handling
8.84079e-05,49858.2231566318,4.3995,Handling
8.16465e-05,50230.3307799488,1.0737,Handling
8.16465e-05,45946.4055161746,1.0737,Handling
8.16465e-05,98694.2350513825,4.6029,Handling
8.16465e-05,63638.0389713776,1.0737,Handling
8.16465e-05,41747.5592557281,2.5157,Handling
8.16465e-05,43193.1356589053,4.6029,Handling
8.16465e-05,56087.2489340746,1.0737,Handling
8.16465e-05,66705.8837214312,4.6029,Handling
8.16465e-05,235463.507878499,1.0737,Handling
8.16465e-05,159539.075470716,4.6029,Handling
8.16465e-05,118023.129180282,1.0737,Handling
